@relation dataset_v3_10_12

@attribute household_key numeric
@attribute products_purchased numeric
@attribute no_of_stores numeric
@attribute no_of_orders numeric
@attribute total_visits numeric
@attribute no_of_national_products numeric
@attribute recency numeric
@attribute weekend_visits numeric
@attribute BrandNationalPercent numeric
@attribute PercentWeekendVisits numeric
@attribute Average_Basket_Size numeric
@attribute AGE_INDEX numeric
@attribute INCOME_INDEX numeric
@attribute HOUSEHOLD_SIZE_INDEX numeric
@attribute total_sales_log numeric
@attribute total_sales_class {Medium,Low,High}

@data
1128,1453,10,222,173,708,2,36,49,21,6.545045,2,6,3,7.926718,Medium
113,5321,5,142,132,3249,3,32,61,24,37.471831,3,8,4,9.461326,High
1130,3434,10,360,249,1417,1,96,41,39,9.538889,5,3,3,8.786174,Medium
1131,1331,7,102,92,732,2,27,55,29,13.04902,4,5,3,8.017891,Medium
1135,385,2,62,56,182,6,17,47,30,6.209677,4,5,2,6.583243,Low
1137,802,3,129,120,362,4,42,45,35,6.217054,6,4,1,7.632827,Low
1138,2418,4,212,191,881,1,51,36,27,11.40566,3,2,2,8.422084,Medium
114,1419,3,80,79,786,4,28,55,35,17.7375,2,4,2,8.064747,Medium
1142,4749,2,218,207,2386,2,95,50,46,21.784404,4,5,2,9.507274,High
1146,4018,8,317,236,1865,1,73,46,31,12.675079,3,4,4,8.941425,High
1147,1522,1,57,52,825,2,22,54,42,26.701754,1,3,2,8.23731,Medium
1151,1056,12,155,136,572,4,51,54,38,6.812903,4,1,1,7.92114,Medium
1154,1873,2,127,122,953,1,35,51,29,14.748031,4,4,2,8.24369,Medium
1158,1476,9,210,178,656,1,71,44,40,7.028571,4,2,2,7.861916,Low
1159,1763,12,215,184,1184,4,52,67,28,8.2,4,2,2,8.28143,Medium
1160,2652,10,135,111,975,1,59,37,53,19.644444,6,4,1,8.344976,Medium
1163,1763,4,119,113,1008,18,32,57,28,14.815126,3,1,1,8.28855,Medium
1164,1883,1,103,96,1120,1,32,59,33,18.281553,2,2,1,8.453049,Medium
1166,4344,3,283,250,2682,1,76,62,30,15.349823,4,8,3,9.130457,High
1167,2607,4,134,123,1457,4,37,56,30,19.455224,3,5,4,8.735749,Medium
1169,2483,14,124,101,1432,7,44,58,44,20.024194,1,2,2,8.535701,Medium
